DaysMedia,Ideology,VotingDuty,TrustPeople,AttendServices,Education,RoughProtestors,Feminist,HuffPostNews,FoxNewsWeb,GunsOwned,ClintonPostFT,TrumpPostFT,FundamentalistFT,FeministFT,PoorFT,BigBizFT,RichFT,PoliceFT,ScientistFT,BLMFT,WeedLegal,WomenHome,ObamaMuslim
5,99,6,3,4,10,2,3,-1,-1,0,0,0,70,50,70,40,70,60,60,50,3,4,4
5,2,6,2,-1,14,1,2,1,0,0,70,0,40,85,85,60,70,85,85,85,1,4,10
7,99,4,2,-1,9,1,3,-1,-1,0,50,60,50,60,70,50,40,100,85,7,2,4,8
0,6,1,2,1,13,4,2,-1,-1,0,0,85,40,30,70,60,70,85,70,998,2,1,6
7,4,7,2,3,13,3,2,0,0,0,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
4,4,7,2,3,9,5,3,-1,-1,1,100,0,100,70,100,85,85,85,100,85,2,1,9
2,99,2,4,4,9,5,3,1,0,5,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
6,3,7,2,-1,12,2,2,-1,-1,0,50,60,40,60,50,30,50,85,70,50,1,4,3
5,99,2,3,2,10,2,3,-1,-1,1,50,40,50,50,70,50,50,100,50,85,1,4,7
7,3,1,3,-1,13,3,3,0,1,0,40,70,40,40,100,70,30,60,100,30,2,2,1
7,4,4,2,4,13,2,2,0,0,0,0,30,40,70,50,40,50,85,85,40,1,-8,8
3,99,7,5,2,9,5,1,-1,-1,0,85,50,100,85,100,50,50,70,70,100,1,6,-8
7,4,4,4,-1,10,5,2,-1,-1,0,70,0,70,50,85,70,50,100,100,60,1,4,4
0,5,1,5,3,4,1,1,0,0,0,60,85,85,100,100,100,70,100,100,85,2,4,1
6,99,7,4,2,8,1,3,0,0,0,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
7,4,2,2,1,9,4,2,-1,-1,3,40,100,70,50,70,70,50,85,85,40,2,2,5
7,6,1,3,4,12,2,3,0,1,10,30,75,55,60,85,70,65,70,85,30,2,2,7
0,99,4,5,-1,9,1,3,-1,-1,3,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
3,6,1,2,-1,12,3,3,1,0,-9,15,40,30,30,40,60,40,70,100,0,1,4,9
7,6,1,3,1,12,1,2,-1,-1,1,0,15,50,50,50,60,50,100,85,15,2,4,10
5,2,6,2,3,9,2,1,1,1,0,70,15,15,70,70,30,40,70,100,100,1,4,10
5,4,6,3,4,9,2,3,0,0,0,50,70,70,60,70,85,50,70,70,60,2,4,4
0,4,4,4,-1,11,3,3,0,0,5,40,40,50,30,50,60,30,60,40,30,1,4,8
4,99,6,2,-1,10,3,3,0,0,6,85,0,50,40,70,50,85,85,100,40,1,2,7
2,3,4,4,4,7,4,3,0,1,0,60,30,50,50,0,60,50,40,50,70,2,4,4
7,3,1,4,-1,13,3,2,1,0,0,85,30,0,85,60,15,40,70,70,70,1,4,9
7,99,1,4,3,12,5,3,0,0,0,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
7,7,1,3,1,7,5,1,-1,-1,1,0,85,100,40,85,60,60,100,50,0,2,1,3
7,6,7,2,2,13,5,3,-1,-1,3,15,100,85,15,50,85,85,85,85,0,2,1,2
3,4,5,5,4,10,1,3,0,0,0,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
7,6,1,2,-1,13,2,3,0,0,0,30,60,15,60,15,85,40,15,90,15,1,1,10
7,7,7,2,1,12,1,3,-1,-1,10,0,30,100,15,85,60,60,100,50,0,2,1,7
6,6,1,2,1,11,3,3,0,1,0,15,85,50,15,50,50,50,85,50,15,3,4,6
7,4,1,4,3,13,3,3,-1,-1,6,30,70,40,40,50,60,50,85,70,60,3,4,7
7,6,2,3,-1,14,2,3,1,1,0,40,15,50,50,50,50,50,70,85,50,3,4,10
7,4,1,2,2,9,5,3,-1,-1,0,100,50,100,100,100,100,85,100,100,100,1,2,9
7,5,1,2,3,9,2,3,1,1,1,50,50,100,60,70,70,50,100,85,85,3,3,9
7,2,1,2,-1,13,1,2,1,0,1,85,0,70,70,85,15,50,85,70,85,1,4,10
7,5,2,2,2,13,1,2,-1,-1,1,0,30,40,60,60,40,50,60,85,60,1,4,6
7,1,1,2,-1,14,1,1,0,0,0,100,0,0,100,100,40,30,70,100,85,1,4,10
7,5,1,2,1,14,3,3,0,0,2,0,0,60,85,70,70,70,100,100,60,2,2,10
7,4,4,4,-1,10,2,3,0,0,0,85,50,85,60,85,70,70,70,70,85,2,4,7
7,6,7,2,1,11,1,3,0,0,0,30,15,60,30,70,60,50,70,60,40,2,4,-8
7,6,2,2,3,9,5,3,0,0,0,0,85,60,40,85,50,70,85,70,15,2,4,-8
7,1,6,2,-1,14,1,1,1,0,0,85,0,0,100,50,60,50,60,100,100,1,4,10
7,5,1,2,-1,10,3,3,0,0,0,30,70,70,50,60,70,50,85,70,30,1,1,7
7,2,2,3,-1,13,1,2,1,0,0,60,0,15,100,85,15,998,40,100,100,1,4,10
7,3,6,2,4,12,4,3,-1,-1,25,0,85,15,0,70,30,60,100,100,0,3,1,9
3,6,6,2,3,13,3,3,-1,-1,2,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
5,4,1,2,2,14,3,2,-1,-1,0,15,60,50,100,100,50,50,100,85,0,2,4,8
1,-8,4,4,4,9,4,3,-1,-1,1,70,50,999,50,60,60,50,70,50,30,2,1,7
7,7,1,2,2,11,5,3,1,1,1,0,85,70,50,85,50,50,85,50,30,1,1,-9
7,6,6,2,1,14,2,2,0,0,0,30,85,70,998,85,50,70,85,85,40,2,4,7
2,6,1,3,1,14,4,3,0,0,3,0,70,100,85,85,15,60,70,70,60,2,1,3
7,99,1,3,3,10,4,3,-1,-1,0,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
2,5,5,4,3,13,4,2,-1,-1,2,0,100,40,40,40,60,40,60,80,0,2,4,3
7,99,4,3,-1,9,1,3,0,0,2,50,60,50,50,85,50,50,100,100,50,1,2,1
7,99,3,3,2,13,3,3,0,0,0,60,0,85,30,85,70,50,70,70,70,2,4,9
7,2,1,2,4,14,1,1,0,0,0,70,0,15,70,100,0,50,60,85,85,1,4,8
7,3,1,2,3,14,1,2,0,0,0,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
5,4,7,4,1,11,1,2,-1,-1,0,100,0,85,999,70,15,40,0,70,60,2,1,8
7,6,1,2,2,14,4,3,0,0,0,0,70,70,30,85,50,50,85,70,0,2,4,6
3,4,1,2,1,13,1,2,0,0,6,60,30,40,50,60,40,40,70,60,50,3,4,8
3,6,6,4,4,13,3,2,0,0,-9,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
7,6,7,4,1,10,1,3,-1,-1,0,0,100,70,50,60,40,70,85,100,50,1,4,2
7,7,7,4,1,13,4,3,0,1,-9,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
7,7,1,2,1,14,5,3,-1,-1,-9,0,100,100,0,100,100,100,100,85,0,2,1,3
7,4,7,2,-1,8,4,2,-1,-1,0,60,85,60,60,85,100,60,85,70,85,3,4,6
7,2,1,4,-1,10,5,-9,-1,-1,-9,85,0,30,50,100,50,60,85,85,100,1,1,6
7,4,2,3,2,9,2,3,-1,-1,0,100,0,70,50,50,40,50,100,100,70,2,4,6
3,3,1,3,2,10,2,2,-1,-1,0,50,30,70,60,70,50,50,85,85,50,3,4,6
7,5,1,3,-1,9,-9,-9,-1,-1,-9,0,70,85,50,85,60,85,85,60,15,3,2,9
2,5,2,2,2,12,2,2,0,0,0,60,30,50,40,90,40,70,90,70,40,2,2,8
7,4,1,2,-1,13,3,3,0,0,0,100,0,60,70,100,60,50,100,70,100,3,4,10
7,6,1,2,2,13,1,3,0,1,-9,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
4,2,7,4,-1,10,1,1,1,0,1,70,0,40,100,100,30,50,40,100,100,1,4,4
1,99,7,3,1,9,1,3,0,0,4,0,85,40,40,85,50,50,100,85,50,2,1,-8
5,3,7,5,3,7,1,1,-1,-1,0,70,30,100,999,100,85,40,85,85,999,2,1,-8
4,1,1,2,3,12,4,2,0,1,0,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
7,4,1,3,-1,14,4,2,-1,-1,0,70,30,40,70,60,40,70,85,60,40,3,4,10
2,3,6,2,-1,12,2,3,1,0,3,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
7,5,3,2,-1,13,3,3,1,0,0,40,60,40,60,85,50,60,85,70,40,1,5,4
3,99,4,3,-1,11,2,3,-1,-1,1,50,50,85,50,100,70,0,40,100,50,2,4,-8
7,5,2,2,-1,16,3,3,0,0,0,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
7,3,1,2,1,10,1,2,0,0,2,100,15,40,100,85,40,50,85,85,85,1,4,10
7,4,1,3,-1,95,2,3,-1,-1,0,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
